"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","5.00",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","SM Frequency","Mhz","585.00",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","27785394",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","Memory Throughput","%","42.57",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","DRAM Throughput","%","14.70",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","Duration","ms","47.50",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","77.20",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","L2 Cache Throughput","%","15.65",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","SM Active Cycles","cycle","27355769.15",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","96.66",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","SpeedOfLight","","","","SOLBottleneck","INF","This workload is utilizing greater than 80.0% of the available compute or memory performance of the device. To further improve performance, work will likely need to be shifted from the most utilized to another unit. Start by analyzing workloads in the Compute Workload Analysis section.","",""
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","SpeedOfLight_RooflineChart","","","","SOLFPRoofline","INF","The ratio of peak float (FP32) to double (FP64) performance on this device is 32:1. The workload achieved 97% of this device's FP32 peak performance and 0% of its FP64 peak performance. See the Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#roofline) for more details on roofline analysis.","",""
